date,value
2021-10-01,-0.0596
2021-11-01,-0.0406
2021-12-01,-0.0761
2022-01-01,0.0668
2022-02-01,0.1254
2022-03-01,0.2098
2022-04-01,0.4809
2022-05-01,0.5111
2022-06-01,0.5321
2022-07-01,0.2274
2022-08-01,0.1421
2022-09-01,0.3781
2022-10-01,0.5150
2022-11-01,0.3666
2022-12-01,0.1521
2023-01-01,0.0487
2023-02-01,0.1462
2023-03-01,0.1191
2023-04-01,-0.0472
2023-05-01,-0.0507
2023-06-01,0.0467
2023-07-01,0.1139
2023-08-01,0.2371
2023-09-01,0.3515
2023-10-01,0.5765
2023-11-01,0.4384
2023-12-01,0.1798
2024-01-01,0.1910
2024-02-01,0.2799
2024-03-01,0.2741
2024-04-01,0.4475
2024-05-01,0.4160
2024-06-01,0.3168
2024-07-01,0.2892
2024-08-01,0.1199
2024-09-01,0.1007
2024-10-01,0.3608
2024-11-01,0.5358
2024-12-01,0.5759
2025-01-01,0.7230
2025-02-01,0.6216
2025-03-01,0.5254
2025-04-01,0.5088
2025-05-01,0.5683
2025-06-01,0.5380
2025-07-01,0.5328
2025-08-01,0.4890
2025-09-01,0.4615
2025-10-01,0.4642
2025-11-01,0.4850
2025-12-01,0.5498
2026-01-01,0.6011
